X,Y,W.S.Elev.,Node #,Ice Concentration,Ice Thickness,Ice Velocity Ui,Vi,Ice Vel. Mag.,Water Vel. Uw,Vw,Ww(=0),Water Vel. Mag.,Water Depth,Froude Number,Water Temperature,Surface Water Temp.,Frazil Conc.,Surface Ice Thickness,Frazil Ice Thickness,Solid Crust Thickness,Anchor Ice Thickness,Undercover Ice Thickness,Bed Elev.,Top of Ice,Bottom of Ice,Border Ice Index,Ice Type
4158829.8062,168930.0153,177.6814,22.0,0.6,0.299923,0.0,0.0,0.0,-0.1765339,-0.1019722,0.0,0.203869,22.18142,0.01390415,0.0,0.0,0.0,0.4478329,0.0,0.299923,0.0,0.0,155.5,177.7063,177.4064,0.0,0.0
4158894.9131,168862.5973,177.6022,23.0,0.6,0.2999315,0.0,0.0,0.0,-0.5187688,-0.2096484,0.0,0.5595297,22.10225,0.03823511,0.0,0.0,0.0,0.3902833,0.0,0.2999314,0.0,0.0,155.5,177.6271,177.3272,0.0,0.0
4158945.0601,168787.2457,177.6695,24.0,0.6,0.2999656,0.0,0.0,0.0,-0.6852269,-0.1773072,0.0,0.707795,22.16948,0.04829348,0.0,0.0,0.0,0.3403065,0.0,0.2999656,0.0,0.0,155.5,177.6944,177.3944,0.0,0.0
4158511.2862,168952.3121,177.6249,25.0,0.6,0.5353785,0.0,0.0,0.0,-0.0696482,-0.7610316,0.0,0.764212,22.12489,0.05245399,0.0,0.0,0.0,0.7353669,0.0,0.2999828,0.0,0.0,155.5,177.6693,177.134,0.0,0.0
4158587.586,168897.1715,177.6777,26.0,0.6,0.3963314,0.0,0.0,0.0,-0.08861162,-0.6064598,0.0,0.6128992,22.17768,0.04189458,0.0,0.0,0.0,0.5962977,0.0,0.2999493,0.0,0.0,155.5,177.7106,177.3142,0.0,0.0
4158653.2461,168854.2653,177.5967,27.0,0.6,0.3152246,0.0,0.0,0.0,-0.1408004,-0.3563154,0.0,0.3831258,22.09669,0.02619185,0.0,0.0,0.0,0.5151784,0.0,0.2999309,0.0,0.0,155.5,177.6229,177.3076,0.0,0.0
4158712.2598,168904.4606,177.6702,28.0,0.6,0.2999618,0.0,0.0,0.0,-0.1355901,0.07044112,0.0,0.152796,22.17023,0.01042385,0.0,0.0,0.0,0.4975122,0.0,0.2999618,0.0,0.0,155.5,177.6951,177.3952,0.0,0.0
4158764.8428,168898.191,177.6198,29.0,0.6,0.2999428,0.0,0.0,0.0,-0.241604,-0.5364069,0.0,0.5883068,22.11982,0.04018632,0.0,0.0,0.0,0.483017,0.0,0.2999427,0.0,0.0,155.5,177.6447,177.3448,0.0,0.0
4158806.5528,168833.4528,177.6357,30.0,0.6,0.2999184,0.0,0.0,0.0,-0.5184118,-0.382211,0.0,0.6440777,22.13574,0.04398067,0.0,0.0,0.0,0.4629452,0.0,0.2999183,0.0,0.0,155.5,177.6606,177.3607,0.0,0.0
4158855.4502,168759.3746,177.6523,31.0,0.6,0.2998135,0.0,0.0,0.0,-0.5285597,-0.3942363,0.0,0.6593919,22.15227,0.04500973,0.0,0.0,0.0,0.442169,0.0,0.2998135,0.0,0.0,155.5,177.6772,177.3773,0.0,0.0
